company|weight|company_link
Apple Inc.|3.146028|http://www.google.com/finance?q=AAPL
Microsoft Corporation|2.471248|http://www.google.com/finance?q=MSFT
Exxon Mobil Corporation|1.890612|http://www.google.com/finance?q=XOM
Johnson & Johnson|1.625933|http://www.google.com/finance?q=JNJ
Amazon.com Inc.|1.612954|http://www.google.com/finance?q=AMZN
Berkshire Hathaway Inc. Class B|1.577309|http://www.google.com/finance?q=BRK.B
JPMorgan Chase & Co.|1.495944|http://www.google.com/finance?q=JPM
Facebook Inc. Class A|1.474574|http://www.google.com/finance?q=FB
General Electric Company|1.474411|http://www.google.com/finance?q=GE
AT&T; Inc.|1.251239|http://www.google.com/finance?q=T
Wells Fargo & Company|1.243962|http://www.google.com/finance?q=WFC
Alphabet Inc. Class A|1.206632|http://www.google.com/finance?q=GOOGL
Alphabet Inc. Class C|1.179555|http://www.google.com/finance?q=GOOG
Procter & Gamble Company|1.159280|http://www.google.com/finance?q=PG
Bank of America Corporation|1.100567|http://www.google.com/finance?q=BAC
Chevron Corporation|1.098491|http://www.google.com/finance?q=CVX
Verizon Communications Inc.|1.074080|http://www.google.com/finance?q=VZ
Pfizer Inc.|0.999747|http://www.google.com/finance?q=PFE
Merck & Co. Inc.|0.895092|http://www.google.com/finance?q=MRK
Intel Corporation|0.873580|http://www.google.com/finance?q=INTC
Comcast Corporation Class A|0.871555|http://www.google.com/finance?q=CMCSA
Citigroup Inc|0.863777|http://www.google.com/finance?q=C
Home Depot Inc.|0.853094|http://www.google.com/finance?q=HD
Coca-Cola Company|0.837176|http://www.google.com/finance?q=KO
Visa Inc. Class A|0.787192|http://www.google.com/finance?q=V
Cisco Systems Inc.|0.784734|http://www.google.com/finance?q=CSCO
UnitedHealth Group Incorporated|0.767082|http://www.google.com/finance?q=UNH
PepsiCo Inc.|0.766736|http://www.google.com/finance?q=PEP
Walt Disney Company|0.761920|http://www.google.com/finance?q=DIS
International Business Machines Corporation|0.739667|http://www.google.com/finance?q=IBM
Philip Morris International Inc.|0.724158|http://www.google.com/finance?q=PM
Altria Group Inc.|0.654968|http://www.google.com/finance?q=MO
Oracle Corporation|0.633969|http://www.google.com/finance?q=ORCL
Schlumberger NV|0.594475|http://www.google.com/finance?q=SLB
Amgen Inc.|0.569603|http://www.google.com/finance?q=AMGN
Wal-Mart Stores Inc.|0.565293|http://www.google.com/finance?q=WMT
Medtronic plc|0.549784|http://www.google.com/finance?q=MDT
3M Company|0.546241|http://www.google.com/finance?q=MMM
McDonald's Corporation|0.538815|http://www.google.com/finance?q=MCD
Mastercard Incorporated Class A|0.527808|http://www.google.com/finance?q=MA
QUALCOMM Incorporated|0.526670|http://www.google.com/finance?q=QCOM
Gilead Sciences Inc.|0.524049|http://www.google.com/finance?q=GILD
AbbVie Inc.|0.514089|http://www.google.com/finance?q=ABBV
Bristol-Myers Squibb Company|0.495463|http://www.google.com/finance?q=BMY
Celgene Corporation|0.489597|http://www.google.com/finance?q=CELG
Boeing Company|0.456823|http://www.google.com/finance?q=BA
Honeywell International Inc.|0.453594|http://www.google.com/finance?q=HON
Union Pacific Corporation|0.446841|http://www.google.com/finance?q=UNP
Starbucks Corporation|0.441210|http://www.google.com/finance?q=SBUX
United Technologies Corporation|0.440006|http://www.google.com/finance?q=UTX
Goldman Sachs Group Inc.|0.420331|http://www.google.com/finance?q=GS
U.S. Bancorp|0.419672|http://www.google.com/finance?q=USB
United Parcel Service Inc. Class B|0.417712|http://www.google.com/finance?q=UPS
CVS Health Corporation|0.413519|http://www.google.com/finance?q=CVS
Priceline Group Inc|0.395337|http://www.google.com/finance?q=PCLN
Accenture Plc|0.391861|http://www.google.com/finance?q=ACN
Texas Instruments Incorporated|0.388918|http://www.google.com/finance?q=TXN
Time Warner Inc.|0.381748|http://www.google.com/finance?q=TWX
Allergan plc|0.380125|http://www.google.com/finance?q=AGN
Walgreens Boots Alliance Inc|0.379601|http://www.google.com/finance?q=WBA
Broadcom Limited|0.369108|http://www.google.com/finance?q=AVGO
NIKE Inc. Class B|0.363135|http://www.google.com/finance?q=NKE
Lockheed Martin Corporation|0.351136|http://www.google.com/finance?q=LMT
Biogen Inc.|0.350522|http://www.google.com/finance?q=BIIB
Costco Wholesale Corporation|0.347431|http://www.google.com/finance?q=COST
Eli Lilly and Company|0.345431|http://www.google.com/finance?q=LLY
Mondelez International Inc. Class A|0.344969|http://www.google.com/finance?q=MDLZ
American International Group Inc.|0.343732|http://www.google.com/finance?q=AIG
Lowe's Companies Inc.|0.332211|http://www.google.com/finance?q=LOW
E. I. du Pont de Nemours and Company|0.321292|http://www.google.com/finance?q=DD
MetLife Inc.|0.317999|http://www.google.com/finance?q=MET
Dow Chemical Company|0.317582|http://www.google.com/finance?q=DOW
Morgan Stanley|0.316836|http://www.google.com/finance?q=MS
Charter Communications Inc. Class A|0.309292|http://www.google.com/finance?q=CHTR
Colgate-Palmolive Company|0.308150|http://www.google.com/finance?q=CL
Chubb Limited|0.307692|http://www.google.com/finance?q=CB
ConocoPhillips|0.299877|http://www.google.com/finance?q=COP
Abbott Laboratories|0.299302|http://www.google.com/finance?q=ABT
Simon Property Group Inc.|0.297938|http://www.google.com/finance?q=SPG
American Express Company|0.297663|http://www.google.com/finance?q=AXP
Thermo Fisher Scientific Inc.|0.296407|http://www.google.com/finance?q=TMO
Caterpillar Inc.|0.293679|http://www.google.com/finance?q=CAT
PNC Financial Services Group Inc.|0.289907|http://www.google.com/finance?q=PNC
EOG Resources Inc.|0.279206|http://www.google.com/finance?q=EOG
Occidental Petroleum Corporation|0.279004|http://www.google.com/finance?q=OXY
NextEra Energy Inc.|0.277886|http://www.google.com/finance?q=NEE
TJX Companies Inc|0.274494|http://www.google.com/finance?q=TJX
Adobe Systems Incorporated|0.272561|http://www.google.com/finance?q=ADBE
Bank of New York Mellon Corporation|0.267237|http://www.google.com/finance?q=BK
NVIDIA Corporation|0.265617|http://www.google.com/finance?q=NVDA
Duke Energy Corporation|0.264969|http://www.google.com/finance?q=DUK
Netflix Inc.|0.263670|http://www.google.com/finance?q=NFLX
Kraft Heinz Company|0.256880|http://www.google.com/finance?q=KHC
General Dynamics Corporation|0.256208|http://www.google.com/finance?q=GD
Express Scripts Holding Company|0.254126|http://www.google.com/finance?q=ESRX
Danaher Corporation|0.252336|http://www.google.com/finance?q=DHR
General Motors Company|0.252055|http://www.google.com/finance?q=GM
salesforce.com inc.|0.249782|http://www.google.com/finance?q=CRM
FedEx Corporation|0.247807|http://www.google.com/finance?q=FDX
Charles Schwab Corporation|0.246016|http://www.google.com/finance?q=SCHW
Southern Company|0.243729|http://www.google.com/finance?q=SO
Ford Motor Company|0.242836|http://www.google.com/finance?q=F
Dominion Resources Inc.|0.239033|http://www.google.com/finance?q=D
BlackRock Inc.|0.238825|http://www.google.com/finance?q=BLK
Aetna Inc.|0.237182|http://www.google.com/finance?q=AET
American Tower Corporation|0.237126|http://www.google.com/finance?q=AMT
Target Corporation|0.236657|http://www.google.com/finance?q=TGT
PayPal Holdings Inc|0.235815|http://www.google.com/finance?q=PYPL
Reynolds American Inc.|0.235333|http://www.google.com/finance?q=RAI
Monsanto Company|0.234975|http://www.google.com/finance?q=MON
Prudential Financial Inc.|0.233570|http://www.google.com/finance?q=PRU
Northrop Grumman Corporation|0.233283|http://www.google.com/finance?q=NOC
Automatic Data Processing Inc.|0.230354|http://www.google.com/finance?q=ADP
Raytheon Company|0.230202|http://www.google.com/finance?q=RTN
Capital One Financial Corporation|0.226419|http://www.google.com/finance?q=COF
Johnson Controls International plc|0.225416|http://www.google.com/finance?q=JCI
Halliburton Company|0.222337|http://www.google.com/finance?q=HAL
Kinder Morgan Inc Class P|0.220866|http://www.google.com/finance?q=KMI
Kimberly-Clark Corporation|0.215447|http://www.google.com/finance?q=KMB
Illinois Tool Works Inc.|0.211313|http://www.google.com/finance?q=ITW
Hewlett Packard Enterprise Co.|0.204583|http://www.google.com/finance?q=HPE
CME Group Inc. Class A|0.199420|http://www.google.com/finance?q=CME
Phillips 66|0.199220|http://www.google.com/finance?q=PSX
Anthem Inc.|0.197517|http://www.google.com/finance?q=ANTM
Delta Air Lines Inc.|0.193268|http://www.google.com/finance?q=DAL
BB&T; Corporation|0.191415|http://www.google.com/finance?q=BBT
General Mills Inc.|0.191174|http://www.google.com/finance?q=GIS
Marsh & McLennan Companies Inc.|0.189258|http://www.google.com/finance?q=MMC
Yahoo! Inc.|0.187233|http://www.google.com/finance?q=YHOO
Cigna Corporation|0.187175|http://www.google.com/finance?q=CI
Becton Dickinson and Company|0.187021|http://www.google.com/finance?q=BDX
Anadarko Petroleum Corporation|0.186030|http://www.google.com/finance?q=APC
Emerson Electric Co.|0.185259|http://www.google.com/finance?q=EMR
Stryker Corporation|0.183440|http://www.google.com/finance?q=SYK
Applied Materials Inc.|0.181447|http://www.google.com/finance?q=AMAT
Praxair Inc.|0.177118|http://www.google.com/finance?q=PX
CSX Corporation|0.175116|http://www.google.com/finance?q=CSX
Travelers Companies Inc.|0.173525|http://www.google.com/finance?q=TRV
Intercontinental Exchange Inc.|0.169216|http://www.google.com/finance?q=ICE
Kroger Co.|0.168010|http://www.google.com/finance?q=KR
McKesson Corporation|0.166244|http://www.google.com/finance?q=MCK
